iter	Passed	Remaining
0	120	120717
1	122	61343
2	124	41540
3	127	31634
4	128	25669
5	131	21743
6	135	19153
7	136	16982
8	139	15318
9	141	14024
10	144	12968
11	146	12057
12	148	11273
13	150	10609
14	152	10023
15	155	9558
16	157	9122
17	159	8715
18	162	8366
19	163	8012
20	165	7704
21	167	7425
22	168	7150
23	170	6920
24	172	6712
25	173	6506
26	176	6344
27	178	6181
28	180	6033
29	183	5918
30	185	5808
31	187	5674
32	189	5563
33	191	5432
34	193	5332
35	194	5214
36	196	5108
37	198	5023
38	200	4936
39	202	4864
40	204	4784
41	207	4722
42	208	4651
43	211	4585
44	213	4521
45	214	4438
46	215	4378
47	217	4314
48	219	4261
49	220	4190
50	222	4132
51	223	4073
52	224	4010
53	225	3951
54	227	3905
55	229	3868
56	231	3833
57	233	3792
58	234	3740
59	236	3701
60	238	3665
61	239	3627
62	241	3594
63	244	3572
64	246	3542
65	247	3508
66	249	3474
67	250	3431
68	253	3419
69	256	3401
70	258	3375
71	259	3350
72	261	3323
73	263	3298
74	264	3266
75	266	3238
76	268	3213
77	285	3376
78	288	3358
79	290	3343
80	292	3316
81	293	3287
82	295	3259
83	296	3234
84	297	3203
85	299	3178
86	300	3148
87	303	3145
88	305	3125
89	306	3102
90	308	3077
91	309	3052
92	311	3036
93	312	3016
94	314	2994
95	316	2978
96	318	2961
97	319	2942
98	321	2922
99	322	2900
100	323	2877
101	323	2851
102	325	2831
103	327	2818
104	328	2800
105	329	2781
106	331	2764
107	332	2745
108	333	2725
109	334	2710
110	336	2693
111	337	2676
112	338	2660
113	340	2644
114	341	2627
115	342	2609
116	343	2593
117	344	2577
118	346	2562
119	347	2550
120	348	2535
121	350	2520
122	350	2500
123	351	2484
124	352	2469
125	353	2454
126	355	2442
127	356	2425
128	357	2413
129	358	2400
130	360	2389
131	361	2378
132	363	2367
133	364	2356
134	366	2345
135	367	2335
136	369	2326
137	370	2313
138	371	2302
139	373	2293
140	375	2285
141	377	2278
142	378	2267
143	379	2256
144	380	2245
145	382	2234
146	383	2223
147	384	2212
148	385	2202
149	386	2191
150	388	2182
151	389	2172
152	390	2161
153	391	2151
154	393	2142
155	394	2133
156	395	2123
157	396	2113
158	397	2104
159	398	2093
160	399	2083
161	401	2075
162	402	2064
163	403	2055
164	404	2047
165	405	2038
166	406	2030
167	407	2020
168	408	2010
169	409	2001
170	411	1992
171	412	1983
172	413	1974
173	414	1966
174	415	1960
175	417	1952
176	418	1946
177	421	1947
178	422	1939
179	424	1932
180	424	1922
181	425	1914
182	427	1906
183	428	1901
184	429	1893
185	430	1885
186	432	1878
187	433	1872
188	434	1865
189	435	1857
190	436	1850
191	438	1846
192	440	1841
193	441	1834
194	443	1828
195	444	1821
196	445	1813
197	445	1806
198	447	1799
199	448	1793
200	449	1787
201	450	1780
202	451	1773
203	452	1766
204	453	1758
205	454	1752
206	455	1745
207	456	1739
208	458	1734
209	459	1728
210	460	1721
211	461	1715
212	462	1708
213	463	1702
214	465	1698
215	466	1692
216	467	1686
217	468	1680
218	469	1674
219	470	1668
220	471	1662
221	472	1656
222	473	1650
223	474	1645
224	476	1641
225	478	1637
226	479	1633
227	480	1628
228	482	1623
229	483	1618
230	485	1615
231	486	1611
232	488	1606
