iter	Passed	Remaining
0	132	132508
1	134	66976
2	136	45334
3	139	34635
4	141	28238
5	144	23994
6	147	20980
7	150	18692
8	152	16806
9	156	15463
10	159	14300
11	161	13298
12	164	12473
13	166	11711
14	168	11072
15	170	10488
16	172	9965
17	174	9518
18	177	9140
19	178	8727
20	179	8355
21	181	8090
22	184	7857
23	187	7627
24	190	7416
25	193	7239
26	195	7034
27	198	6894
28	201	6736
29	203	6572
30	205	6424
31	207	6280
32	209	6152
33	212	6032
34	214	5902
35	215	5783
36	217	5672
37	219	5557
38	221	5446
39	222	5338
40	224	5241
41	226	5168
42	228	5082
43	229	4993
44	231	4905
45	232	4818
46	233	4734
47	234	4654
48	235	4577
49	237	4503
50	238	4434
51	239	4371
52	241	4311
53	242	4252
54	243	4192
55	245	4134
56	246	4083
57	248	4036
58	249	3981
59	250	3928
60	251	3878
61	253	3835
62	254	3786
63	256	3745
64	257	3705
65	258	3661
66	259	3616
67	260	3572
68	261	3529
69	262	3488
70	263	3446
71	264	3405
72	265	3367
73	266	3328
74	267	3298
75	268	3267
76	269	3232
77	270	3198
78	271	3164
79	272	3130
80	273	3097
81	273	3065
82	274	3030
83	275	3002
84	276	2973
85	277	2945
86	278	2918
87	279	2892
88	279	2865
89	280	2838
90	281	2815
91	283	2793
92	284	2769
93	284	2746
94	285	2722
95	286	2700
96	287	2677
97	288	2654
98	289	2631
99	290	2610
100	290	2589
101	291	2569
102	292	2549
103	293	2529
104	294	2510
105	295	2492
106	297	2479
107	298	2467
108	300	2454
109	301	2442
110	303	2431
111	305	2420
112	306	2404
113	307	2389
114	308	2375
115	309	2361
116	310	2346
117	312	2335
118	314	2325
119	315	2313
120	316	2301
121	317	2288
122	319	2278
123	320	2265
124	321	2252
125	322	2238
126	323	2223
127	324	2208
128	325	2195
129	325	2181
130	327	2171
131	328	2160
132	329	2148
133	330	2137
134	331	2124
135	332	2112
136	333	2100
137	334	2088
138	335	2075
139	335	2063
140	336	2051
141	337	2037
142	338	2027
143	339	2016
144	339	2004
145	340	1993
146	341	1982
147	342	1974
148	344	1969
149	345	1960
150	346	1950
151	347	1940
152	348	1930
153	351	1929
154	352	1919
155	352	1909
156	353	1899
157	354	1889
158	355	1880
159	356	1871
160	357	1860
161	359	1857
162	360	1851
163	361	1844
164	363	1837
165	364	1830
166	365	1822
167	366	1815
168	367	1808
169	369	1801
170	370	1794
171	371	1786
172	372	1782
173	374	1778
174	375	1771
175	376	1764
176	377	1756
177	378	1748
178	379	1740
179	380	1732
180	381	1725
181	382	1718
182	383	1711
183	384	1705
184	385	1698
185	386	1691
186	387	1685
187	389	1680
188	390	1673
189	390	1666
190	392	1661
191	393	1654
192	394	1647
193	394	1640
194	395	1633
195	396	1626
196	397	1619
197	398	1613
198	399	1606
199	399	1599
200	400	1593
201	401	1587
202	403	1582
203	403	1576
204	404	1569
205	405	1563
206	406	1557
207	407	1551
208	408	1545
209	409	1539
210	410	1533
211	411	1527
212	411	1521
213	412	1515
214	414	1511
215	414	1506
216	415	1500
217	416	1495
218	417	1490
219	419	1485
220	420	1480
221	420	1475
222	422	1471
223	423	1467
224	424	1462
225	425	1458
226	427	1454
227	428	1449
228	429	1445
229	430	1441
230	431	1437
231	433	1434
232	435	1432
233	438	1434
234	439	1431
235	440	1426
236	441	1422
237	442	1417
238	443	1413
239	444	1409
240	445	1404
241	447	1400
242	448	1396
243	449	1393
244	450	1388
245	451	1383
246	452	1379
247	453	1374
248	454	1369
249	455	1365
250	455	1360
251	457	1357
252	458	1353
253	459	1348
254	460	1344
255	460	1339
256	461	1335
257	462	1331
258	464	1329
259	465	1325
260	466	1320
261	467	1316
262	468	1311
263	469	1307
264	470	1304
265	471	1300
266	472	1296
267	473	1292
268	473	1287
269	474	1283
270	475	1279
271	476	1275
272	477	1271
273	479	1270
274	480	1266
275	482	1264
276	483	1262
277	484	1259
278	486	1256
279	487	1253
280	488	1250
281	489	1246
282	490	1243
283	492	1242
284	494	1240
285	496	1238
286	497	1236
287	498	1233
288	499	1229
289	501	1227
290	502	1225
291	504	1224
292	506	1222
293	508	1222
294	510	1219
295	511	1216
296	512	1213
297	514	1210
298	515	1207
299	516	1204
300	517	1201
301	518	1197
302	519	1194
303	520	1190
304	521	1187
305	522	1185
306	524	1183
307	525	1179
308	525	1175
309	527	1174
310	528	1170
311	529	1167
312	530	1164
313	531	1160
314	532	1157
315	533	1154
316	534	1151
317	536	1149
318	537	1148
319	539	1145
320	540	1143
321	541	1140
322	542	1137
323	544	1135
324	545	1133
325	546	1130
326	548	1128
327	549	1125
328	550	1122
329	551	1119
330	553	1117
331	555	1116
332	556	1114
333	558	1112
334	559	1110
335	560	1107
336	561	1104
337	562	1101
338	564	1100
339	565	1097
340	566	1094
341	567	1091
342	568	1089
343	569	1086
344	571	1084
345	572	1081
346	573	1078
347	574	1075
348	575	1072
349	575	1069
350	576	1066
351	577	1063
352	578	1060
353	579	1057
354	580	1054
355	581	1051
356	582	1049
357	584	1047
358	585	1045
359	586	1042
360	587	1039
361	588	1036
362	589	1034
363	590	1031
364	591	1028
365	592	1026
366	593	1023
367	594	1020
368	595	1018
369	597	1016
370	598	1014
371	600	1012
372	601	1011
373	602	1009
374	604	1006
375	605	1004
376	606	1002
377	607	1000
378	609	998
379	610	995
380	611	993
381	613	991
382	615	991
383	616	988
384	617	986
385	618	984
386	619	981
387	621	979
388	622	977
389	623	975
390	624	972
391	625	970
392	626	968
393	628	966
394	629	964
395	631	962
396	632	960
397	633	958
398	634	956
399	636	954
400	637	951
401	638	949
402	639	946
403	639	944
404	640	941
405	641	939
406	642	936
407	644	934
408	645	932
409	646	929
410	647	927
411	648	925
412	649	922
413	650	921
414	652	919
415	653	917
416	654	915
417	655	913
418	657	911
419	658	910
420	660	908
421	662	907
422	664	905
423	665	903
424	666	901
425	667	899
426	668	897
427	669	894
428	670	893
429	673	892
430	674	890
431	676	889
432	677	887
433	678	885
434	680	883
435	681	881
436	682	878
437	683	876
438	684	874
439	685	872
440	686	869
441	687	867
442	688	865
443	689	863
444	690	861
445	691	859
446	693	857
447	694	855
448	695	853
449	696	851
450	697	849
451	698	846
452	699	844
453	700	842
454	702	841
455	703	839
456	704	837
457	705	834
458	706	832
459	707	830
460	708	828
461	709	826
462	710	824
463	711	821
464	712	819
465	713	817
466	713	814
467	714	812
468	716	810
469	717	808
470	718	806
471	719	804
472	720	802
473	721	800
474	723	799
475	724	797
476	725	795
477	726	793
478	727	791
479	728	789
480	729	787
481	731	785
482	732	784
483	734	782
484	735	780
485	736	778
486	737	776
487	738	774
488	739	772
489	740	770
490	740	768
491	741	766
492	742	764
493	744	762
494	745	760
495	746	758
496	747	756
497	748	754
498	749	752
499	750	750
500	751	748
501	752	746
502	753	744
503	754	742
504	755	740
505	756	738
506	757	736
507	758	734
508	758	732
509	759	729
510	760	727
511	761	725
512	762	724
513	763	722
514	764	720
515	765	718
516	766	716
517	767	714
518	768	711
519	768	709
520	769	707
521	770	705
522	771	703
523	772	701
524	773	699
525	774	697
526	775	695
527	775	693
528	777	691
529	778	690
530	779	688
531	780	686
532	781	685
533	783	683
534	784	681
535	785	679
536	786	677
537	787	676
538	788	674
539	789	672
540	790	670
541	791	668
542	792	667
543	794	665
544	795	663
545	796	662
546	797	660
547	798	658
548	799	656
549	800	655
550	802	653
551	803	652
552	804	650
553	805	648
554	807	647
555	809	646
556	811	645
557	812	643
558	813	641
559	814	639
560	815	637
561	816	636
562	816	634
563	817	632
564	818	630
565	819	628
566	820	626
567	821	624
568	822	623
569	823	621
570	824	619
571	825	617
572	826	615
573	827	614
574	828	612
575	828	610
576	829	608
577	830	606
578	831	604
579	832	602
580	833	600
581	833	598
582	834	597
583	835	595
584	836	593
585	838	592
586	839	590
587	840	588
588	841	586
589	841	585
590	842	583
591	843	581
592	844	579
593	845	578
594	846	576
595	847	574
596	848	572
597	849	571
598	850	569
599	852	568
600	854	567
601	855	565
602	856	563
603	857	562
604	858	560
605	859	558
606	860	557
607	861	555
608	862	553
609	863	551
610	864	550
611	865	548
612	865	546
613	867	545
614	868	543
615	869	541
616	870	540
617	871	538
618	872	536
619	873	535
620	874	533
621	874	531
622	875	529
623	876	528
624	877	526
625	878	524
626	879	522
627	879	521
628	880	519
629	881	517
630	882	516
631	884	514
632	885	513
633	886	511
634	887	509
635	888	508
636	889	506
637	890	505
638	891	503
639	892	502
640	893	500
641	894	498
642	895	497
643	899	497
644	900	495
645	901	494
646	902	492
647	903	490
648	904	489
649	905	487
650	906	486
651	907	484
652	908	482
653	909	481
654	911	479
655	912	478
656	913	476
657	914	475
658	915	473
659	916	472
660	917	470
661	918	469
662	919	467
663	920	465
664	921	464
665	922	462
666	923	460
667	924	459
668	925	457
669	925	456
670	926	454
671	927	452
672	929	451
673	930	449
674	931	448
675	932	446
676	933	445
677	934	443
678	935	442
679	936	440
680	936	438
681	937	437
682	938	435
683	939	434
684	940	432
685	941	430
686	942	429
687	943	427
688	944	426
689	945	424
690	946	423
691	947	421
692	948	420
693	949	418
694	950	416
695	951	415
696	951	413
697	952	412
698	953	410
699	954	409
700	956	407
701	957	406
702	958	404
703	960	403
704	961	402
705	962	400
706	963	399
707	964	397
708	965	396
709	966	394
710	967	393
711	968	391
712	969	390
713	970	388
714	971	387
715	972	385
716	973	384
717	975	383
718	976	381
719	977	380
720	979	378
721	980	377
722	981	376
723	983	374
724	984	373
725	985	371
726	986	370
727	987	369
728	989	367
729	990	366
730	991	364
731	992	363
732	993	362
733	994	360
734	995	359
735	997	357
736	998	356
737	999	354
738	1001	353
739	1002	352
740	1004	351
741	1005	349
742	1007	348
743	1009	347
744	1010	345
745	1012	344
746	1013	343
747	1014	341
748	1015	340
749	1016	338
750	1017	337
751	1019	336
752	1020	334
753	1021	333
754	1022	331
755	1023	330
756	1024	328
757	1025	327
758	1026	326
759	1028	324
760	1029	323
761	1031	322
762	1033	321
763	1035	319
764	1037	318
765	1038	317
766	1039	315
767	1041	314
768	1042	313
769	1043	311
770	1045	310
771	1046	308
772	1047	307
773	1049	306
774	1050	305
775	1051	303
776	1053	302
777	1054	301
778	1056	299
779	1057	298
780	1058	296
781	1059	295
782	1061	294
783	1062	292
784	1064	291
785	1065	290
786	1066	288
787	1067	287
788	1069	285
789	1071	284
790	1072	283
791	1074	282
792	1075	280
793	1076	279
794	1078	277
795	1079	276
796	1081	275
797	1082	273
798	1083	272
799	1085	271
800	1087	270
801	1088	268
802	1090	267
803	1092	266
804	1093	264
805	1095	263
806	1097	262
807	1098	261
808	1099	259
809	1101	258
810	1102	256
811	1103	255
812	1105	254
813	1106	252
814	1107	251
815	1110	250
816	1111	248
817	1112	247
818	1113	246
819	1114	244
820	1116	243
821	1116	241
822	1118	240
823	1119	239
824	1120	237
825	1121	236
826	1123	234
827	1124	233
828	1125	232
829	1127	230
830	1128	229
831	1129	228
832	1130	226
833	1131	225
834	1132	223
835	1134	222
836	1136	221
837	1137	219
838	1138	218
839	1140	217
840	1141	215
841	1142	214
842	1144	213
843	1145	211
844	1146	210
845	1148	209
846	1149	207
847	1150	206
848	1151	204
849	1153	203
850	1155	202
851	1156	200
852	1157	199
853	1158	198
854	1159	196
855	1161	195
856	1162	193
857	1163	192
858	1165	191
859	1167	190
860	1168	188
861	1170	187
862	1171	185
863	1172	184
864	1173	183
865	1175	181
866	1176	180
867	1177	179
868	1178	177
869	1179	176
870	1180	174
871	1182	173
872	1185	172
873	1186	171
874	1187	169
875	1189	168
876	1190	166
877	1191	165
878	1192	164
879	1193	162
880	1194	161
881	1195	159
882	1197	158
883	1198	157
884	1199	155
885	1201	154
886	1203	153
887	1204	151
888	1206	150
889	1207	149
890	1209	147
891	1212	146
892	1213	145
893	1214	144
894	1215	142
895	1217	141
896	1218	139
897	1219	138
898	1220	137
899	1221	135
900	1222	134
901	1223	132
902	1224	131
903	1226	130
904	1228	128
905	1229	127
906	1230	126
907	1231	124
908	1232	123
909	1233	122
910	1234	120
911	1235	119
912	1236	117
913	1237	116
914	1238	115
915	1239	113
916	1241	112
917	1242	110
918	1243	109
919	1244	108
920	1245	106
921	1246	105
922	1246	104
923	1247	102
924	1249	101
925	1250	99
926	1250	98
927	1251	97
928	1252	95
929	1253	94
930	1256	93
931	1257	91
932	1259	90
933	1260	89
934	1261	87
935	1262	86
936	1263	84
937	1264	83
938	1265	82
939	1266	80
940	1267	79
941	1268	78
942	1269	76
943	1271	75
944	1272	74
945	1274	72
946	1275	71
947	1276	70
948	1277	68
949	1278	67
950	1279	65
951	1280	64
952	1282	63
953	1283	61
954	1284	60
955	1285	59
956	1286	57
957	1287	56
958	1288	55
959	1289	53
960	1290	52
961	1291	51
962	1292	49
963	1294	48
964	1295	46
965	1296	45
966	1297	44
967	1298	42
968	1299	41
969	1307	40
970	1309	39
971	1310	37
972	1311	36
973	1312	35
974	1313	33
975	1314	32
976	1316	30
977	1317	29
978	1318	28
979	1320	26
980	1321	25
981	1322	24
982	1323	22
983	1324	21
984	1325	20
985	1326	18
986	1327	17
987	1328	16
988	1329	14
989	1330	13
